ID,Vaccine,Strain,NT100 titer
PBS-1,PBS,WA-1,0
PBS-2,PBS,WA-1,0
PBS-3,PBS,WA-1,0
PBS-4,PBS,WA-1,40
PBS-1,PBS,Beta,0
PBS-2,PBS,Beta,0
PBS-3,PBS,Beta,0
PBS-4,PBS,Beta,0
MIT-1,MIT,WA-1,40
MIT-2,MIT,WA-1,0
MIT-3,MIT,WA-1,0
MIT-4,MIT,WA-1,0
MIT-5,MIT,WA-1,0
MIT-1,MIT,Beta,0
MIT-2,MIT,Beta,0
MIT-3,MIT,Beta,0
MIT-4,MIT,Beta,0
MIT-5,MIT,Beta,0
BNT-1,Pfizer/BNT,WA-1,2560
BNT-2,Pfizer/BNT,WA-1,640
BNT-3,Pfizer/BNT,WA-1,5120
BNT-4,Pfizer/BNT,WA-1,640
BNT-5,Pfizer/BNT,WA-1,1280
BNT-1,Pfizer/BNT,Beta,640
BNT-2,Pfizer/BNT,Beta,640
BNT-3,Pfizer/BNT,Beta,1280
BNT-4,Pfizer/BNT,Beta,640
BNT-5,Pfizer/BNT,Beta,1280